ObservationDate,ObservationTime,EntryDateTime,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE,DateTimeStamp
2024-12-10, 05:00 AM, 2024-12-10 05:06 AM, AK-SF-6, Delta Junction 9.8 SE, 63.96291, -145.48059, 0.00, 0.0, NA, NA, NA, 2024-12-10 02:05 PM
2024-12-10, 06:00 AM, 2024-12-10 06:09 AM, AK-JB-11, Juneau 5.6 NW, 58.35684, -134.53131, 0.21, 0.0, NA, 4.0, NA, 2024-12-10 03:08 PM
2024-12-10, 06:00 AM, 2024-12-10 07:53 AM, AK-AB-64, Chugiak 2.4 NE, 61.418534, -149.44951, T, NA, NA, NA, NA, 2024-12-10 04:53 PM
2024-12-10, 06:00 AM, 2024-12-11 09:26 AM, AK-AB-21, Eagle River 2.6 ESE, 61.312243, -149.495798, 0.00, 0.0, NA, NA, NA, 2024-12-11 06:26 PM
2024-12-10, 06:30 AM, 2024-12-10 06:45 AM, AK-JB-17, Juneau 23.3 W, 58.44102, -134.76997, 0.00, 0.0, NA, NA, NA, 2024-12-10 03:44 PM
2024-12-10, 06:45 AM, 2024-12-10 06:55 AM, AK-MS-19, Trapper Creek 8.5 SSW, 62.1329, -150.5371, 0.30, 0.0, 0.00, 5.0, NA, 2024-12-10 03:55 PM
2024-12-10, 06:49 AM, 2024-12-10 07:11 AM, AK-MS-30, Palmer 2.6 NW, 61.627525, -149.161597, T, NA, NA, NA, NA, 2024-12-10 04:10 PM
2024-12-10, 07:00 AM, 2024-12-10 06:34 AM, AK-KP-7, Soldotna 9.5 E, 60.494368, -150.784236, 0.22, NA, NA, NA, NA, 2024-12-10 03:33 PM
2024-12-10, 07:00 AM, 2024-12-10 07:11 AM, AK-AB-65, Anchorage 5.1 SSW, 61.150232, -149.959323, T, 0.0, NA, 4.0, NA, 2024-12-10 04:10 PM
2024-12-10, 07:00 AM, 2024-12-10 07:18 AM, AK-AB-62, Anchorage 8.3 SSE, 61.11375, -149.77678, 0.07, NA, NA, 1.0, NA, 2024-12-10 04:17 PM
2024-12-10, 07:00 AM, 2024-12-10 08:27 AM, AK-MS-12, Talkeetna 7.6 S, 62.227249, -150.073073, 0.19, T, T, 5.5, NA, 2024-12-10 05:26 PM
2024-12-10, 07:00 AM, 2024-12-11 06:04 PM, AK-AB-52, Anchorage 4.7 SSW, 61.1529, -149.9346, 0.01, 0.0, 0.00, 7.0, NA, 2024-12-12 03:03 AM
