ObservationDate,ObservationTime,EntryDateTime,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE,DateTimeStamp
2024-12-10, 02:40 AM, 2024-12-10 02:43 AM, ND-BT-9, Westhope 0.1 N, 48.91363, -101.01682, 0.00, 0.0, NA, NA, NA, 2024-12-10 08:42 AM
2024-12-10, 06:00 AM, 2024-12-10 05:56 AM, ND-RC-8, Abercrombie 0.2 NW, 46.449, -96.728, 0.00, 0.0, NA, NA, NA, 2024-12-10 11:56 AM
2024-12-10, 06:00 AM, 2024-12-10 06:14 AM, ND-MR-7, Hazen 0.4 ESE, 47.298303413373, -101.617834704981, 0.01, 0.2, 0.01, NA, NA, 2024-12-10 12:13 PM
2024-12-10, 06:00 AM, 2024-12-10 06:26 AM, ND-SM-14, Pingree 5.4 NW, 47.215688, -98.994444, T, T, NA, NA, NA, 2024-12-10 12:25 PM
2024-12-10, 06:30 AM, 2024-12-10 06:13 AM, ND-GG-3, Cooperstown 0.4 WNW, 47.44685, -98.132492, 0.00, 0.0, NA, 1.0, NA, 2024-12-10 12:12 PM
2024-12-10, 07:00 AM, 2024-12-10 07:04 AM, ND-CS-79, West Fargo 2.1 SSW, 46.846629, -96.91997, T, T, NA, NA, NA, 2024-12-10 01:03 PM
2024-12-10, 07:00 AM, 2024-12-10 08:08 AM, ND-GF-23, Larimore 0.4 SE, 47.9053, -97.6211, T, T, NA, NA, NA, 2024-12-10 02:08 PM
2024-12-10, 07:00 AM, 2024-12-10 07:17 AM, ND-WR-20, Minot 1.6 SSW, 48.212988, -101.309627, 0.00, 0.0, NA, NA, NA, 2024-12-10 01:16 PM
2024-12-10, 07:00 AM, 2024-12-10 07:26 AM, ND-CS-75, Fargo 1.8 S, 46.85126, -96.81675, 0.00, 0.0, NA, NA, NA, 2024-12-10 01:25 PM
2024-12-10, 07:00 AM, 2024-12-10 07:36 AM, ND-RV-4, Tolley 6.4 N, 48.8213807344437, -101.84938788414, T, 0.5, NA, NA, NA, 2024-12-10 01:36 PM
2024-12-10, 07:00 AM, 2024-12-10 08:20 AM, ND-CS-77, Fargo 6.3 S, 46.786, -96.82483, T, NA, NA, NA, NA, 2024-12-10 02:19 PM
2024-12-10, 07:00 AM, 2024-12-10 07:22 AM, ND-SK-12, Dickinson 1.3 WNW, 46.8950229138136, -102.807566151023, 0.00, 0.0, NA, NA, NA, 2024-12-10 02:21 PM
2024-12-10, 07:00 AM, 2024-12-10 08:59 AM, ND-LM-4, La Moure 4.6 ESE, 46.3444683, -98.2020494, T, NA, NA, NA, NA, 2024-12-10 02:59 PM
2024-12-10, 07:00 AM, 2024-12-10 09:02 AM, ND-WR-24, Berthold 3.5 SSE, 48.268767, -101.704829, T, T, NA, T, NA, 2024-12-10 03:01 PM
2024-12-10, 07:00 AM, 2024-12-10 09:06 AM, ND-SM-12, Montpelier 3.3 ESE, 46.68874, -98.519135, T, T, NA, T, NA, 2024-12-10 03:06 PM
2024-12-10, 07:00 AM, 2024-12-10 09:33 AM, ND-CS-45, Fargo 3.6 NNE, 46.925995, -96.793217, 0.00, 0.0, NA, NA, NA, 2024-12-10 03:32 PM
2024-12-10, 07:00 AM, 2024-12-10 08:33 AM, ND-GV-1, Beach 0.3 SSE, 46.9095039, -104.0049702, T, T, T, 1.0, NA, 2024-12-10 03:33 PM
2024-12-10, 07:00 AM, 2024-12-10 09:45 AM, ND-TR-3, Grandin 7.1 ENE, 47.26978, -96.85943, T, T, NA, NA, NA, 2024-12-10 03:44 PM
2024-12-10, 07:00 AM, 2024-12-11 09:32 AM, ND-DN-22, Killdeer 0.3 NNW, 47.368641, -102.75557, T, NA, NA, NA, NA, 2024-12-11 04:32 PM
2024-12-10, 07:00 AM, 2024-12-11 11:38 AM, ND-RC-14, Wahpeton 1.0 SSE, 46.25819, -96.59853, 0.00, 0.0, NA, NA, NA, 2024-12-11 05:38 PM
2024-12-10, 07:00 AM, 2024-12-13 08:04 AM, ND-DC-13, Ellendale 7.3 NW, 46.069578, -98.644094, 0.01, 0.3, NA, NA, NA, 2024-12-13 02:03 PM
2024-12-10, 07:00 AM, 2024-12-13 09:15 AM, ND-WH-6, Forest River 0.2 ESE, 48.2164545, -97.4661242, 0.00, 0.0, NA, NA, NA, 2024-12-13 03:14 PM
2024-12-10, 07:00 AM, 2024-12-14 09:55 AM, ND-BH-34, Bismarck 1.3 WNW, 46.8114599, -100.792962, 0.03, 0.5, NA, 1.0, NA, 2024-12-14 03:55 PM
2024-12-10, 07:00 AM, 2024-12-20 01:21 PM, ND-DN-11, Killdeer 5.4 SW, 47.321148, -102.847733, 0.00, 0.0, NA, NA, NA, 2024-12-20 08:20 PM
2024-12-10, 07:45 AM, 2024-12-10 08:17 AM, ND-CS-68, Fargo 7.2 S, 46.77314, -96.796977, T, NA, NA, NA, NA, 2024-12-10 02:17 PM
2024-12-10, 07:45 AM, 2024-12-10 11:07 AM, ND-MT-16, Mandan 1.7 SSE, 46.805404, -100.878262, T, NA, NA, NA, NA, 2024-12-10 05:06 PM
2024-12-10, 08:00 AM, 2024-12-10 07:31 AM, ND-RS-4, Milnor 1.8 NNW, 46.2828, -97.47527, T, NA, NA, NA, NA, 2024-12-10 01:30 PM
