ObservationDate,ObservationTime,EntryDateTime,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE,DateTimeStamp
2024-12-10, 06:00 AM, 2024-12-10 08:46 AM, NV-WH-19, Reno 9.0 W, 39.518429, -119.9935, 0.00, 0.0, NA, NA, NA, 2024-12-10 04:45 PM
2024-12-10, 06:00 AM, 2024-12-10 08:41 PM, NV-WP-4, Ely 25.0 SSW, 38.91694444, -115.0619444, 0.00, 0.0, NA, NA, NA, 2024-12-11 04:41 AM
2024-12-10, 06:00 AM, 2024-12-20 06:28 PM, NV-CC-20, Carson City 3.6 NNW, 39.1968, -119.76799, 0.00, 0.0, NA, NA, NA, 2024-12-21 02:27 AM
2024-12-10, 06:00 AM, 2024-12-25 06:35 AM, NV-CK-2, Las Vegas 2.2 SW, 36.183314, -115.250273, 0.00, 0.0, NA, NA, NA, 2024-12-25 02:34 PM
2024-12-10, 07:00 AM, 2024-12-10 06:57 AM, NV-WH-2, Reno 1.4 NNE, 39.557312, -119.81439, 0.00, 0.0, 0.00, 0.0, 0.00, 2024-12-10 02:57 PM
2024-12-10, 07:00 AM, 2024-12-10 07:02 AM, NV-WH-166, Sparks 3.2 NE, 39.579318, -119.697186, 0.00, 0.0, NA, NA, NA, 2024-12-10 03:02 PM
2024-12-10, 07:00 AM, 2024-12-10 07:10 AM, NV-CK-34, Henderson 2.5 SE, 36.006546, -114.973375, 0.00, 0.0, NA, NA, NA, 2024-12-10 03:10 PM
2024-12-10, 07:00 AM, 2024-12-10 07:12 AM, NV-NY-13, Tonopah 2.2 SSE, 38.06752, -117.23612, 0.00, 0.0, NA, 0.0, NA, 2024-12-10 03:11 PM
2024-12-10, 07:00 AM, 2024-12-10 07:33 AM, NV-CK-13, Mesquite 1.6 ENE, 36.815042, -114.082726, 0.00, 0.0, NA, NA, NA, 2024-12-10 03:32 PM
2024-12-10, 07:00 AM, 2024-12-10 07:38 AM, NV-CK-101, Mesquite 2.0 N, 36.830583, -114.1115, 0.00, 0.0, 0.00, 0.0, 0.00, 2024-12-10 03:38 PM
2024-12-10, 07:00 AM, 2024-12-10 07:42 AM, NV-DG-23, Gardnerville 5.7 W, 38.93738, -119.84116, 0.00, 0.0, NA, NA, NA, 2024-12-10 03:41 PM
2024-12-10, 07:00 AM, 2024-12-10 07:46 AM, NV-EL-34, Spring Creek 0.6 ENE, 40.740564, -115.584231, 0.00, 0.0, NA, T, NA, 2024-12-10 03:45 PM
2024-12-10, 07:00 AM, 2024-12-10 07:48 AM, NV-CC-9, Carson City 1.4 S, 39.127901, -119.741648, 0.00, 0.0, NA, NA, NA, 2024-12-10 03:48 PM
2024-12-10, 07:00 AM, 2024-12-10 07:57 AM, NV-CC-23, Carson City 2.2 NW, 39.168339, -119.776233, 0.00, 0.0, NA, NA, NA, 2024-12-10 03:56 PM
2024-12-10, 07:00 AM, 2024-12-10 08:23 AM, NV-NY-12, Pahrump 2.9 SSW, 36.21265, -116.03545, 0.00, 0.0, NA, NA, NA, 2024-12-10 04:22 PM
2024-12-10, 07:00 AM, 2024-12-10 08:58 AM, NV-CC-14, Carson City 4.4 N, 39.211274, -119.739955, 0.00, 0.0, NA, NA, NA, 2024-12-10 04:57 PM
2024-12-10, 07:00 AM, 2024-12-10 09:29 AM, NV-CK-7, Las Vegas 7.8 SW, 36.097164, -115.264185, 0.00, 0.0, NA, NA, NA, 2024-12-10 05:28 PM
2024-12-10, 07:00 AM, 2024-12-10 09:49 AM, NV-WH-11, Reno 2.4 SSW, 39.508411, -119.844181, 0.00, 0.0, 0.00, 0.0, 0.00, 2024-12-10 05:49 PM
2024-12-10, 07:00 AM, 2024-12-10 10:21 AM, NV-CK-109, Sandy Valley 3.1 ESE, 35.794315, -115.585489, 0.00, 0.0, NA, NA, NA, 2024-12-10 06:21 PM
2024-12-10, 07:00 AM, 2024-12-10 02:01 PM, NV-WH-25, Reno 3.9 W, 39.542022, -119.895788, 0.00, 0.0, NA, NA, NA, 2024-12-10 10:01 PM
2024-12-10, 07:00 AM, 2024-12-11 07:15 AM, NV-WH-167, Reno 3.5 SSW, 39.490537, -119.843161, 0.00, 0.0, NA, NA, NA, 2024-12-11 03:14 PM
2024-12-10, 07:00 AM, 2024-12-11 04:18 PM, NV-DG-4, Gardnerville 5.0 W, 38.945918, -119.842435, 0.00, 0.0, NA, NA, NA, 2024-12-12 12:17 AM
2024-12-10, 07:00 AM, 2024-12-13 10:39 AM, NV-CK-18, Paradise 3.9 WSW, 36.057962, -115.196886, 0.00, 0.0, NA, NA, NA, 2024-12-13 06:39 PM
2024-12-10, 07:00 AM, 2024-12-13 11:29 AM, NV-EL-36, Spring Creek 6.5 NW, 40.809536, -115.677063, 0.00, 0.0, NA, NA, NA, 2024-12-13 07:29 PM
2024-12-10, 07:00 AM, 2024-12-13 03:18 PM, NV-CK-97, Las Vegas 6.3 W, 36.202524, -115.335937, 0.00, 0.0, NA, NA, NA, 2024-12-13 11:17 PM
2024-12-10, 07:00 AM, 2024-12-14 07:25 AM, NV-WH-79, Reno 17.8 NNW, 39.790278, -119.894694, 0.00, 0.0, NA, NA, NA, 2024-12-14 03:24 PM
2024-12-10, 07:00 AM, 2024-12-16 08:01 PM, NV-CK-39, Las Vegas 3.9 S, 36.150146, -115.229724, 0.00, 0.0, NA, NA, NA, 2024-12-17 04:00 AM
2024-12-10, 07:00 AM, 2024-12-30 05:51 AM, NV-CK-64, Laughlin 1.2 SSW, 35.134503, -114.631671, 0.00, 0.0, NA, NA, NA, 2024-12-30 01:51 PM
2024-12-10, 07:00 AM, 2025-01-02 07:58 AM, NV-WH-144, Reno 6.8 SE, 39.48238, -119.7174, 0.00, 0.0, NA, NA, NA, 2025-01-02 03:57 PM
2024-12-10, 07:00 AM, 2025-02-14 09:42 AM, NV-CK-65, Las Vegas 5.8 S, 36.122203, -115.236706, 0.00, 0.0, NA, NA, NA, 2025-02-14 05:42 PM
2024-12-10, 07:00 AM, 2025-02-14 12:24 PM, NV-CK-104, Las Vegas 4.8 SSE, 36.138611, -115.203611, 0.00, 0.0, NA, NA, NA, 2025-02-14 08:23 PM
2024-12-10, 08:00 AM, 2024-12-10 07:12 AM, NV-CK-98, Boulder City 0.2 E, 35.9658, -114.8349, 0.00, 0.0, NA, NA, NA, 2024-12-10 03:11 PM
2024-12-10, 08:00 AM, 2024-12-10 07:44 AM, NV-WH-133, Reno 1.7 WSW, 39.5300674438477, -119.853057861328, 0.00, 0.0, NA, NA, NA, 2024-12-10 03:44 PM
2024-12-10, 08:00 AM, 2024-12-10 07:45 AM, NV-LY-39, Dayton 3.9 NE, 39.3021, -119.52817, 0.00, 0.0, NA, NA, NA, 2024-12-10 03:44 PM
2024-12-10, 08:00 AM, 2024-12-10 08:07 AM, NV-ES-1, Goldfield 0.9 N, 37.720817, -117.235927, 0.00, 0.0, 0.00, 0.0, 0.00, 2024-12-10 04:07 PM
