ObservationDate,ObservationTime,EntryDateTime,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE,DateTimeStamp
2024-12-10, 05:40 AM, 2024-12-10 05:42 AM, WV-CB-2, Huntington 2.9 E, 38.405967, -82.381274, 0.05, NA, NA, NA, NA, 2024-12-10 10:41 AM
2024-12-10, 06:00 AM, 2024-12-10 06:17 AM, WV-MA-10, Rivesville 1.7 N, 39.555861, -80.121159, 0.43, NA, NA, NA, NA, 2024-12-10 11:17 AM
2024-12-10, 06:00 AM, 2024-12-10 07:30 AM, WV-PN-1, Fort Seybert 3.0 NE, 38.7182, -79.1428, 0.10, NA, NA, NA, NA, 2024-12-10 12:30 PM
2024-12-10, 06:00 AM, 2024-12-11 06:42 PM, WV-CB-19, Culloden 0.5 WSW, 38.4141, -82.076, 0.02, NA, NA, NA, NA, 2024-12-11 11:41 PM
2024-12-10, 06:04 AM, 2024-12-10 06:05 AM, WV-LN-3, Branchland 5.5 ESE, 38.186413, -82.111559, 0.07, NA, NA, NA, NA, 2024-12-10 11:04 AM
2024-12-10, 06:15 AM, 2024-12-10 06:23 AM, WV-TY-3, Middlebourne 3.2 ESE, 39.47, -80.85706, 0.24, NA, NA, NA, NA, 2024-12-10 11:22 AM
2024-12-10, 06:29 AM, 2024-12-10 06:30 AM, WV-DD-2, West Union 8.2 NE, 39.39101389, -80.68297222, 0.24, NA, NA, NA, NA, 2024-12-10 11:29 AM
2024-12-10, 06:45 AM, 2024-12-10 06:46 AM, WV-BY-16, Bunker Hill 1.5 SW, 39.314835, -78.068367, 0.21, 0.0, NA, 0.0, NA, 2024-12-10 11:46 AM
2024-12-10, 07:00 AM, 2024-12-10 06:29 AM, WV-RT-2, Pennsboro 1.2 ESE, 39.27361, -80.955789, 0.09, NA, NA, NA, NA, 2024-12-10 11:28 AM
2024-12-10, 07:00 AM, 2024-12-10 06:30 AM, WV-PR-20, Bruceton Mills 2.8 S, 39.6194841, -79.6378397, 0.37, 0.0, NA, 0.0, NA, 2024-12-10 11:29 AM
2024-12-10, 07:00 AM, 2024-12-10 06:51 AM, WV-WD-18, Walker 2.1 SW, 39.15838, -81.41237, 0.08, NA, NA, NA, NA, 2024-12-10 11:50 AM
2024-12-10, 07:00 AM, 2024-12-10 06:58 AM, WV-KN-33, Charleston 2.6 W, 38.344196, -81.678526, 0.00, 0.0, NA, 0.0, NA, 2024-12-10 11:58 AM
