City/Town,County,State,Region,CountyID,StateID,RegionID
,,Alabama,South,000,01,3
Autaugaville,,Alabama,South,001,01,3
Billingsley,,Alabama,South,001,01,3
Millbrook (pt.),,Alabama,South,001,01,3
Prattville (pt.),,Alabama,South,001,01,3
,Autauga County,Alabama,South,001,01,3
Bay Minette,,Alabama,South,003,01,3
Daphne,,Alabama,South,003,01,3
Elberta,,Alabama,South,003,01,3
Fairhope,,Alabama,South,003,01,3
Foley,,Alabama,South,003,01,3
Gulf Shores,,Alabama,South,003,01,3
Loxley,,Alabama,South,003,01,3
Magnolia Springs,,Alabama,South,003,01,3
Orange Beach,,Alabama,South,003,01,3
Perdido Beach,,Alabama,South,003,01,3
Robertsdale,,Alabama,South,003,01,3
Silverhill,,Alabama,South,003,01,3
Spanish Fort,,Alabama,South,003,01,3
Summerdale,,Alabama,South,003,01,3
,Baldwin County,Alabama,South,003,01,3
Bakerhill,,Alabama,South,005,01,3
Blue Springs,,Alabama,South,005,01,3
Clayton,,Alabama,South,005,01,3
Clio,,Alabama,South,005,01,3
Eufaula,,Alabama,South,005,01,3
Louisville,,Alabama,South,005,01,3
,Barbour County,Alabama,South,005,01,3
Brent,,Alabama,South,007,01,3
Centreville,,Alabama,South,007,01,3
Vance (pt.),,Alabama,South,007,01,3
West Blocton,,Alabama,South,007,01,3
Woodstock (pt.),,Alabama,South,007,01,3
,Bibb County,Alabama,South,007,01,3
Allgood,,Alabama,South,009,01,3
Altoona (pt.),,Alabama,South,009,01,3
Blountsville,,Alabama,South,009,01,3
Cleveland,,Alabama,South,009,01,3
County Line (pt.),,Alabama,South,009,01,3
Garden City (pt.),,Alabama,South,009,01,3
Hayden,,Alabama,South,009,01,3
Highland Lake,,Alabama,South,009,01,3
Locust Fork,,Alabama,South,009,01,3
Nectar,,Alabama,South,009,01,3
Oneonta,,Alabama,South,009,01,3
Rosa,,Alabama,South,009,01,3
Snead,,Alabama,South,009,01,3
Susan Moore,,Alabama,South,009,01,3
Trafford (pt.),,Alabama,South,009,01,3
,Blount County,Alabama,South,009,01,3
Midway,,Alabama,South,011,01,3
Union Springs,,Alabama,South,011,01,3
,Bullock County,Alabama,South,011,01,3
Georgiana,,Alabama,South,013,01,3
Greenville,,Alabama,South,013,01,3
